year,cpi_index,ppi_commodities_index
1974,49.3,53.6
1975,53.8,58.2
1976,56.9,60.8
1977,60.6,64.7
1978,65.2,69.8
1979,72.6,78.7
1980,82.4,89.8
1981,90.9,98.0
1982,96.5,100.0
1983,99.6,101.3
1984,103.9,103.7
1985,107.6,103.2
1986,109.6,100.2
1987,113.6,102.8
1988,118.3,106.9
1989,124.0,112.2
1990,130.7,116.5
1991,136.2,116.5
1992,140.3,117.2
1993,144.5,118.9
1994,148.2,120.4
1995,152.4,124.7
1996,156.9,127.7
1997,160.5,127.6
1998,163.0,124.4
1999,166.6,125.5
2000,172.2,132.7
2001,177.1,134.2
2002,179.9,131.1
2003,184.0,138.1
2004,188.9,146.7
2005,195.3,157.4
2006,201.6,164.7
2007,207.3,172.6
2008,215.3,189.6
2009,214.5,172.9
2010,218.1,184.7
2011,224.9,201.0
2012,229.6,202.3
2013,233.0,203.1
2014,236.7,203.0
2015,237.0,183.0
2016,240.0,178.8
2017,245.1,188.4
2018,251.1,198.0
2019,255.7,196.3
2020,258.8,187.0
2021,271.0,222.3
2022,292.7,263.2
2023,304.7,252.3
2024,313.7,256.6
